,_id,similarity_scores
29,29,"[(29, 1.0), (109, 0.89887214), (16, 0.86795306), (477, 0.8403198), (106, 0.7852075), (839, 0.78480387), (493, 0.7804937), (366, 0.77737975), (275, 0.77702045), (634, 0.7683927)]"
30,30,"[(30, 0.99999976), (189, 0.8277825), (412, 0.81135935), (895, 0.78868294), (791, 0.78430897), (294, 0.78427607), (811, 0.7787673), (463, 0.7728348), (784, 0.7726929), (39, 0.76624167)]"
31,31,"[(31, 0.99999976), (865, 0.7986876), (926, 0.7693896), (895, 0.7412323), (691, 0.7345679), (422, 0.7293272), (294, 0.7278677), (608, 0.72078454), (177, 0.7198587), (181, 0.7178836)]"
32,32,"[(32, 0.99999994), (690, 0.7338143), (733, 0.7317923), (126, 0.7293415), (319, 0.7203368), (661, 0.71939766), (687, 0.71493715), (399, 0.7125782), (407, 0.7105013), (804, 0.6998154)]"
33,33,"[(33, 1.0), (718, 0.8308592), (111, 0.81800723), (2, 0.8172605), (853, 0.813608), (687, 0.81302696), (968, 0.7982744), (662, 0.79625416), (161, 0.7946912), (348, 0.78863704)]"
34,34,"[(34, 0.9999999), (501, 0.7795871), (472, 0.74886644), (514, 0.71353066), (266, 0.7017696), (903, 0.67894626), (913, 0.67733324), (144, 0.66326284), (614, 0.65948343), (360, 0.65710205)]"
35,35,"[(35, 1.0000002), (391, 0.71635056), (417, 0.71371746), (621, 0.7087544), (842, 0.70747995), (24, 0.69628227), (144, 0.6945558), (225, 0.68233824), (359, 0.6809536), (804, 0.68092597)]"
36,36,"[(36, 0.99999994), (687, 0.7752506), (781, 0.77145505), (33, 0.7702484), (307, 0.7690268), (906, 0.7613197), (718, 0.761269), (522, 0.75828743), (96, 0.7552716), (348, 0.75179666)]"
37,37,"[(37, 0.9999999), (666, 0.82611656), (809, 0.81865656), (665, 0.8165505), (622, 0.8152486), (55, 0.8084248), (337, 0.8057377), (103, 0.80005944), (308, 0.7999444), (181, 0.79419327)]"
38,38,"[(38, 0.99999994), (7, 0.7575314), (86, 0.7109768), (772, 0.70014656), (205, 0.6977027), (50, 0.6937799), (180, 0.6785906), (71, 0.67017424), (422, 0.66644555), (794, 0.6653243)]"
39,39,"[(39, 0.99999976), (782, 0.83567643), (549, 0.8298565), (449, 0.82259464), (848, 0.81418514), (93, 0.81053627), (300, 0.80897737), (695, 0.80771697), (856, 0.7974644), (663, 0.7957077)]"
40,40,"[(40, 0.99999994), (263, 0.829963), (168, 0.80590826), (201, 0.8046992), (493, 0.7844953), (1, 0.7775347), (999, 0.7635025), (87, 0.7629976), (377, 0.761991), (417, 0.7562568)]"
41,41,"[(41, 1.0000001), (511, 0.75448465), (162, 0.74574786), (961, 0.73649347), (415, 0.73539877), (103, 0.7321081), (546, 0.72759163), (6, 0.7238145), (980, 0.7223017), (239, 0.72077936)]"
42,42,"[(42, 0.9999999), (607, 0.82820725), (444, 0.79618275), (918, 0.79540515), (611, 0.7949142), (453, 0.7941726), (712, 0.7887151), (187, 0.78298575), (989, 0.77870536), (504, 0.7760179)]"
43,43,"[(43, 0.9999999), (545, 0.82855886), (564, 0.77861), (1, 0.7541661), (5, 0.7470841), (172, 0.74420315), (102, 0.721646), (39, 0.7205878), (895, 0.7158272), (40, 0.71418613)]"
44,44,"[(44, 1.0), (410, 0.8519894), (493, 0.81188583), (749, 0.79506415), (722, 0.78408587), (898, 0.7762956), (839, 0.76924765), (479, 0.7681939), (109, 0.75740206), (744, 0.75676143)]"
45,45,"[(45, 1.0), (266, 0.6537508), (981, 0.65109783), (732, 0.6449198), (517, 0.63268703), (408, 0.62906104), (586, 0.6258281), (712, 0.61712104), (467, 0.6166482), (420, 0.6132643)]"
46,46,"[(46, 0.9999999), (832, 0.8410738), (786, 0.7180718), (997, 0.71613944), (633, 0.7067138), (388, 0.70094645), (475, 0.69983864), (936, 0.69823337), (689, 0.69167024), (880, 0.68631995)]"
47,47,"[(47, 0.9999999), (650, 0.7833967), (417, 0.75295305), (340, 0.7425318), (844, 0.74138683), (486, 0.7279548), (410, 0.71595055), (493, 0.7144738), (506, 0.71279085), (912, 0.7101793)]"
48,48,"[(48, 0.9999999), (194, 0.8010347), (848, 0.79682755), (961, 0.788056), (702, 0.78463274), (834, 0.7824882), (556, 0.7816204), (376, 0.780722), (166, 0.7767364), (774, 0.7764309)]"
49,49,"[(49, 1.0), (520, 0.837497), (442, 0.8291224), (980, 0.82505727), (702, 0.8168205), (869, 0.8141098), (939, 0.8074001), (961, 0.80228317), (308, 0.791283), (504, 0.7907784)]"
50,50,"[(50, 0.99999994), (440, 0.82483125), (307, 0.7989781), (439, 0.79432434), (284, 0.7894434), (967, 0.78526646), (423, 0.784569), (111, 0.78219503), (98, 0.7800733), (354, 0.7742728)]"
51,51,"[(51, 1.0), (785, 0.75078344), (672, 0.7416979), (158, 0.73837847), (398, 0.72337484), (447, 0.7215576), (392, 0.72063005), (374, 0.71515083), (759, 0.70775366), (200, 0.7073798)]"
52,52,"[(52, 0.99999994), (440, 0.78008676), (637, 0.77826595), (567, 0.7741593), (906, 0.7732423), (490, 0.7676765), (565, 0.762969), (166, 0.7591353), (442, 0.75327754), (255, 0.7510749)]"
53,53,"[(53, 0.9999998), (960, 0.8228277), (68, 0.7956666), (788, 0.787264), (197, 0.77402574), (941, 0.76851815), (141, 0.7646402), (818, 0.7548613), (636, 0.7531836), (926, 0.7431076)]"
54,54,"[(54, 1.0), (759, 0.7903291), (293, 0.7768676), (897, 0.75324714), (132, 0.7244394), (504, 0.72265995), (349, 0.7127934), (158, 0.71191466), (918, 0.70780945), (936, 0.7076667)]"
55,55,"[(55, 1.0), (768, 0.8675749), (194, 0.858777), (362, 0.85656846), (979, 0.84705037), (666, 0.84132385), (814, 0.84088284), (931, 0.8340215), (181, 0.8323286), (853, 0.8319609)]"
56,56,"[(56, 1.0), (127, 0.6249989), (905, 0.5969752), (653, 0.5959558), (855, 0.5864572), (780, 0.5663465), (253, 0.55389774), (374, 0.5462686), (214, 0.54282165), (86, 0.54237324)]"
57,57,"[(57, 0.9999999), (234, 0.7685412), (223, 0.7544724), (144, 0.73720896), (173, 0.7356928), (788, 0.7351677), (210, 0.73238325), (293, 0.7242433), (369, 0.722548), (572, 0.7205748)]"
58,58,"[(58, 1.0), (722, 0.75821775), (746, 0.7557566), (930, 0.74737674), (502, 0.7435535), (357, 0.7433502), (226, 0.72763646), (410, 0.7258913), (473, 0.71354985), (755, 0.710866)]"
59,59,"[(59, 1.0000001), (60, 0.81869507), (473, 0.8035625), (479, 0.7814445), (839, 0.7712319), (493, 0.7573199), (357, 0.74963516), (477, 0.7358383), (270, 0.7260339), (737, 0.72194445)]"
60,60,"[(60, 0.9999999), (357, 0.8562505), (473, 0.8473029), (339, 0.8403568), (59, 0.81869507), (839, 0.8048706), (746, 0.7997427), (270, 0.7950786), (78, 0.7950604), (479, 0.786421)]"
61,61,"[(61, 1.0000004), (532, 0.8068391), (495, 0.7611551), (896, 0.75818586), (201, 0.7500287), (926, 0.74902654), (964, 0.7470597), (810, 0.746462), (417, 0.7438741), (225, 0.7259368)]"
62,62,"[(62, 1.0000001), (376, 0.8001822), (691, 0.7919879), (865, 0.7581572), (180, 0.7555758), (48, 0.75352824), (424, 0.74858385), (873, 0.7481282), (797, 0.745663), (640, 0.74099874)]"
63,63,"[(63, 0.99999976), (10, 0.75566083), (155, 0.75186247), (226, 0.7505353), (844, 0.7377975), (410, 0.73443234), (2, 0.7316363), (930, 0.73001826), (941, 0.7227938), (477, 0.71900785)]"
64,64,"[(64, 1.0000002), (128, 0.86948943), (427, 0.8082447), (726, 0.79513335), (240, 0.78872526), (267, 0.767158), (880, 0.7550984), (732, 0.7514268), (495, 0.7473844), (88, 0.7470709)]"
65,65,"[(65, 0.99999994), (913, 0.81524736), (636, 0.8117043), (88, 0.802754), (947, 0.79598534), (616, 0.76577926), (408, 0.7554102), (501, 0.7540028), (732, 0.7433579), (197, 0.74330604)]"
66,66,"[(66, 1.0), (426, 0.8611295), (329, 0.85897624), (21, 0.8563859), (114, 0.85358274), (654, 0.8070084), (75, 0.806396), (275, 0.80113316), (389, 0.79357296), (745, 0.7823716)]"
67,67,"[(67, 0.9999999), (953, 0.77721107), (809, 0.76837856), (863, 0.7431755), (989, 0.7357286), (37, 0.72976017), (194, 0.72890556), (999, 0.7281076), (900, 0.72543037), (814, 0.7239487)]"
68,68,"[(68, 1.0000001), (53, 0.7956666), (941, 0.7753788), (163, 0.7735138), (844, 0.7346944), (241, 0.7294573), (468, 0.70475435), (561, 0.6989944), (943, 0.69576925), (340, 0.69383746)]"
69,69,"[(69, 1.0000002), (989, 0.84958863), (663, 0.8165309), (187, 0.79726195), (463, 0.7915007), (194, 0.789664), (961, 0.7845359), (201, 0.78174007), (878, 0.7797356), (814, 0.7768849)]"
70,70,"[(70, 1.0), (651, 0.7821419), (168, 0.7755459), (48, 0.7635834), (233, 0.760007), (737, 0.75526), (30, 0.75430727), (226, 0.7534352), (840, 0.7525538), (537, 0.7524393)]"
71,71,"[(71, 1.0), (941, 0.77131325), (309, 0.75774366), (664, 0.751088), (3, 0.7476872), (163, 0.7457987), (926, 0.74548006), (340, 0.7442792), (710, 0.73392177), (974, 0.73364484)]"
72,72,"[(72, 1.0), (168, 0.86745036), (298, 0.7536542), (217, 0.74711835), (226, 0.74616873), (737, 0.74546313), (493, 0.7448777), (417, 0.7419119), (755, 0.7394331), (753, 0.7346723)]"
73,73,"[(73, 1.0), (973, 0.8083209), (584, 0.79443496), (307, 0.7903375), (958, 0.7865407), (812, 0.7816272), (895, 0.7815537), (932, 0.78147674), (710, 0.7735621), (395, 0.77196693)]"
74,74,"[(74, 1.0000002), (856, 0.80965745), (129, 0.8061439), (268, 0.8001761), (695, 0.80002284), (39, 0.7855389), (782, 0.7836153), (104, 0.7635043), (684, 0.75734437), (790, 0.75725454)]"
75,75,"[(75, 1.0000001), (106, 0.8709775), (286, 0.84706783), (476, 0.8284784), (275, 0.82602566), (66, 0.806396), (488, 0.80530816), (867, 0.79993963), (329, 0.79964405), (746, 0.79775846)]"
76,76,"[(76, 1.0), (88, 0.7905289), (121, 0.7859174), (580, 0.7793634), (907, 0.75788677), (804, 0.7578632), (377, 0.7488141), (505, 0.74620354), (786, 0.7451103), (726, 0.7399469)]"
